final epochs: 80
final iteration count: 666
final temperature: 0.0
final set of (7) solutions: 
decision variables: [1.373519], fitnesses: [1.886554, 0.392479]
decision variables: [0.861919], fitnesses: [0.742904, 1.295229]
decision variables: [1.703408], fitnesses: [2.901599, 0.087967]
decision variables: [0.468626], fitnesses: [0.219611, 2.345105]
decision variables: [1.830451], fitnesses: [3.350549, 0.028747]
decision variables: [1.627414], fitnesses: [2.648475, 0.138821]
decision variables: [1.317721], fitnesses: [1.736388, 0.465505]
decision variables: [1.866693], fitnesses: [3.484541, 0.017771]
decision variables: [1.511980], fitnesses: [2.286085, 0.238163]
decision variables: [0.832085], fitnesses: [0.692365, 1.364026]
decision variables: [1.205397], fitnesses: [1.452982, 0.631394]
decision variables: [0.082474], fitnesses: [0.006802, 3.676907]
decision variables: [0.575883], fitnesses: [0.331641, 2.028110]
decision variables: [1.033923], fitnesses: [1.068996, 0.933306]
decision variables: [1.281955], fitnesses: [1.643409, 0.515589]
decision variables: [-0.005417], fitnesses: [0.000029, 4.021699]
decision variables: [0.541384], fitnesses: [0.293097, 2.127560]
decision variables: [0.339344], fitnesses: [0.115155, 2.757777]
decision variables: [1.049488], fitnesses: [1.101425, 0.903473]
decision variables: [1.719543], fitnesses: [2.956827, 0.078656]
decision variables: [1.812874], fitnesses: [3.286511, 0.035016]
decision variables: [1.391898], fitnesses: [1.937380, 0.369788]
decision variables: [0.382287], fitnesses: [0.146143, 2.616996]
decision variables: [1.992467], fitnesses: [3.969923, 0.000057]
decision variables: [0.583032], fitnesses: [0.339926, 2.007798]
decision variables: [1.790919], fitnesses: [3.207390, 0.043715]
decision variables: [0.369576], fitnesses: [0.136586, 2.658282]
decision variables: [0.117698], fitnesses: [0.013853, 3.543060]
decision variables: [1.754239], fitnesses: [3.077353, 0.060399]
decision variables: [1.291115], fitnesses: [1.666979, 0.502517]
decision variables: [0.463320], fitnesses: [0.214666, 2.361384]
decision variables: [1.982378], fitnesses: [3.929822, 0.000311]
decision variables: [0.127515], fitnesses: [0.016260, 3.506200]
decision variables: [1.873475], fitnesses: [3.509909, 0.016009]
decision variables: [1.715542], fitnesses: [2.943084, 0.080916]


final epochs: 505
final iteration count: 3901
final temperature: 0.0
final set of (100) solutions: 
decision variables: [1.155911], fitnesses: [1.336131, 0.712486]
decision variables: [0.336095], fitnesses: [0.112960, 2.768580]
decision variables: [0.525002], fitnesses: [0.275627, 2.175618]
decision variables: [0.038754], fitnesses: [0.001502, 3.846488]
decision variables: [1.769741], fitnesses: [3.131985, 0.053019]
decision variables: [1.087306], fitnesses: [1.182235, 0.833010]
decision variables: [0.569345], fitnesses: [0.324154, 2.046773]
decision variables: [1.604702], fitnesses: [2.575068, 0.156261]
decision variables: [1.159304], fitnesses: [1.343987, 0.706769]
decision variables: [1.514385], fitnesses: [2.293363, 0.235822]
decision variables: [0.277077], fitnesses: [0.076772, 2.968464]
decision variables: [1.876514], fitnesses: [3.521304, 0.015249]
decision variables: [1.889855], fitnesses: [3.571551, 0.012132]
decision variables: [1.661262], fitnesses: [2.759790, 0.114744]
decision variables: [0.482748], fitnesses: [0.233045, 2.302054]
decision variables: [0.751295], fitnesses: [0.564444, 1.559265]
decision variables: [1.708190], fitnesses: [2.917914, 0.085153]
decision variables: [0.748172], fitnesses: [0.559761, 1.567074]
decision variables: [1.134190], fitnesses: [1.286386, 0.749628]
decision variables: [1.966981], fitnesses: [3.869013, 0.001090]
decision variables: [0.324264], fitnesses: [0.105147, 2.808090]
decision variables: [0.273989], fitnesses: [0.075070, 2.979112]
decision variables: [1.070132], fitnesses: [1.145182, 0.864655]
decision variables: [0.279417], fitnesses: [0.078074, 2.960407]
decision variables: [0.234645], fitnesses: [0.055058, 3.116479]
decision variables: [1.952522], fitnesses: [3.812344, 0.002254]
decision variables: [0.700144], fitnesses: [0.490202, 1.689625]
decision variables: [0.929754], fitnesses: [0.864443, 1.145426]
decision variables: [0.059824], fitnesses: [0.003579, 3.764282]
decision variables: [1.705188], fitnesses: [2.907666, 0.086914]
decision variables: [0.707160], fitnesses: [0.500075, 1.671435]
decision variables: [0.566633], fitnesses: [0.321073, 2.054540]
decision variables: [1.318546], fitnesses: [1.738565, 0.464379]
decision variables: [1.329228], fitnesses: [1.766848, 0.449935]
decision variables: [0.824238], fitnesses: [0.679369, 1.382416]
decision variables: [0.254090], fitnesses: [0.064562, 3.048201]
decision variables: [0.481856], fitnesses: [0.232185, 2.304761]
decision variables: [0.583687], fitnesses: [0.340691, 2.005942]
decision variables: [-0.016543], fitnesses: [0.000274, 4.066447]
decision variables: [0.026874], fitnesses: [0.000722, 3.893228]
decision variables: [1.525870], fitnesses: [2.328279, 0.224799]
decision variables: [1.898618], fitnesses: [3.604750, 0.010278]
decision variables: [1.896564], fitnesses: [3.596955, 0.010699]
decision variables: [1.414302], fitnesses: [2.000251, 0.343042]
decision variables: [1.523450], fitnesses: [2.320899, 0.227100]
decision variables: [0.736817], fitnesses: [0.542899, 1.595632]
decision variables: [0.164763], fitnesses: [0.027147, 3.368094]
decision variables: [0.595115], fitnesses: [0.354161, 1.973703]
decision variables: [1.598967], fitnesses: [2.556694, 0.160828]
decision variables: [0.279434], fitnesses: [0.078084, 2.960346]
decision variables: [1.562741], fitnesses: [2.442159, 0.191196]
decision variables: [1.209217], fitnesses: [1.462205, 0.625338]
decision variables: [0.413637], fitnesses: [0.171095, 2.516549]
decision variables: [1.461878], fitnesses: [2.137088, 0.289575]
decision variables: [0.738576], fitnesses: [0.545495, 1.591190]
decision variables: [0.449043], fitnesses: [0.201640, 2.405467]
decision variables: [0.791900], fitnesses: [0.627106, 1.459506]
decision variables: [0.417275], fitnesses: [0.174119, 2.505018]
decision variables: [1.558245], fitnesses: [2.428126, 0.195148]
decision variables: [1.626050], fitnesses: [2.644039, 0.139839]
decision variables: [1.911333], fitnesses: [3.653195, 0.007862]
decision variables: [1.264923], fitnesses: [1.600030, 0.540339]
decision variables: [0.937031], fitnesses: [0.878027, 1.129903]
decision variables: [0.289319], fitnesses: [0.083705, 2.926430]
decision variables: [1.916671], fitnesses: [3.673629, 0.006944]
decision variables: [0.851594], fitnesses: [0.725213, 1.318836]
decision variables: [1.137157], fitnesses: [1.293126, 0.744498]
decision variables: [1.635478], fitnesses: [2.674787, 0.132877]
decision variables: [0.135432], fitnesses: [0.018342, 3.476612]
decision variables: [0.948147], fitnesses: [0.898983, 1.106394]
decision variables: [0.425347], fitnesses: [0.180920, 2.479531]
decision variables: [1.287317], fitnesses: [1.657184, 0.507917]
decision variables: [0.222851], fitnesses: [0.049663, 3.158259]
decision variables: [0.740377], fitnesses: [0.548158, 1.586650]
decision variables: [0.195547], fitnesses: [0.038239, 3.256050]
decision variables: [0.830460], fitnesses: [0.689664, 1.367823]
decision variables: [1.689989], fitnesses: [2.856062, 0.096107]
decision variables: [1.165133], fitnesses: [1.357535, 0.697003]
decision variables: [1.824211], fitnesses: [3.327744, 0.030902]
decision variables: [1.636007], fitnesses: [2.676520, 0.132491]
decision variables: [1.759362], fitnesses: [3.095354, 0.057907]
decision variables: [0.710934], fitnesses: [0.505427, 1.661692]
decision variables: [1.907248], fitnesses: [3.637594, 0.008603]
decision variables: [2.024586], fitnesses: [4.098947, 0.000604]
decision variables: [1.914392], fitnesses: [3.664896, 0.007329]
decision variables: [0.315458], fitnesses: [0.099514, 2.837683]
decision variables: [1.783770], fitnesses: [3.181836, 0.046755]
decision variables: [1.932032], fitnesses: [3.732747, 0.004620]
decision variables: [1.704058], fitnesses: [2.903815, 0.087581]
decision variables: [0.775818], fitnesses: [0.601894, 1.498621]
decision variables: [1.767440], fitnesses: [3.123843, 0.054084]
decision variables: [1.572340], fitnesses: [2.472254, 0.182893]
decision variables: [1.230520], fitnesses: [1.514180, 0.592099]
decision variables: [1.915255], fitnesses: [3.668201, 0.007182]
decision variables: [1.742636], fitnesses: [3.036780, 0.066236]
decision variables: [1.889848], fitnesses: [3.571527, 0.012133]
decision variables: [0.285942], fitnesses: [0.081763, 2.937994]
decision variables: [0.823234], fitnesses: [0.677714, 1.384779]
decision variables: [0.744909], fitnesses: [0.554889, 1.575255]
decision variables: [1.569277], fitnesses: [2.462629, 0.185523]


